epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr,time_s
1,0.356608,0.868394,0.247340,0.893983,0.970030,1.00e-05,423.7
2,0.348397,0.876524,0.234675,0.916905,0.970663,9.05e-06,356.5
3,0.363168,0.862805,0.251679,0.896848,0.969597,6.58e-06,410.7
4,0.366566,0.868394,0.252449,0.893983,0.970147,3.52e-06,397.6
5,0.363436,0.868394,0.251088,0.891117,0.970496,1.05e-06,313.1
6,0.354025,0.871951,0.241442,0.896848,0.970829,1.00e-05,388.9
7,0.345501,0.880589,0.237499,0.896848,0.971545,9.76e-06,377.8
